Date,Time,Amount (ml)
28/10/2025,14:43:43,375
28/10/2025,16:08:18,600
28/10/2025,20:00:00,700
29/10/2025,07:24:00,250
29/10/2025,14:11:00,625
29/10/2025,16:11:00,250
29/10/2025,17:05:00,250
29/10/2025,17:05:00,500
30/10/2025,10:05:00,300
30/10/2025,10:05:00,700
31/10/2025,14:44:00,500
31/10/2025,17:36:00,250
31/10/2025,18:46:00,250
31/10/2025,21:07:00,500
31/10/2025,23:17:00,500
01/11/2025,15:10:00,250
01/11/2025,17:30:00,250
01/11/2025,20:45:00,250
01/11/2025,23:52:00,250
02/11/2025,11:17:00,250
02/11/2025,19:14:00,250
03/11/2025,12:20:00,250
03/11/2025,13:11:00,250
03/11/2025,15:02:00,250
03/11/2025,21:12:00,250
03/11/2025,22:23:00,250
04/11/2025,13:58:00,300
04/11/2025,14:34:00,250

